,i,j,clusters
0,0,0,2
1,0,1,2
2,0,2,2
3,0,3,2
4,0,4,2
5,0,5,2
6,0,6,2
7,0,7,2
8,0,8,2
9,0,9,2
10,0,10,2
11,0,11,2
12,0,12,2
13,0,13,2
14,0,14,2
15,0,15,2
16,0,16,2
17,0,17,2
18,0,18,2
19,0,19,2
20,0,20,2
21,0,21,2
22,0,22,2
23,0,23,2
24,0,24,2
25,0,25,2
26,0,26,2
27,0,27,2
28,0,28,2
29,0,29,2
30,0,30,2
31,0,31,2
32,0,32,2
33,0,33,2
34,0,34,2
35,0,35,2
36,0,36,2
37,0,37,2
38,0,38,2
39,0,39,2
40,0,40,2
41,0,41,2
42,0,42,2
43,0,43,2
44,0,44,2
45,0,45,2
46,0,46,2
47,0,47,2
48,0,48,2
49,0,49,2
50,0,50,2
51,0,51,2
52,0,52,2
53,0,53,2
54,0,54,2
55,0,55,2
56,0,56,2
57,0,57,2
58,0,58,2
59,0,59,2
60,0,60,2
61,0,61,2
62,0,62,2
63,0,63,2
64,0,64,2
65,0,65,2
66,0,66,2
67,0,67,2
68,0,68,2
69,0,69,2
70,0,70,2
71,0,71,2
72,0,72,2
73,0,73,2
74,0,74,2
75,0,75,2
76,0,76,2
77,0,77,2
78,0,78,2
79,0,79,2
80,0,80,2
81,0,81,2
82,0,82,2
83,0,83,2
84,0,84,2
85,0,85,2
86,0,86,2
87,0,87,2
88,0,88,2
89,0,89,2
90,0,90,2
91,0,91,2
92,0,92,2
93,0,93,2
94,0,94,2
95,0,95,2
96,0,96,2
97,0,97,2
98,0,98,2
99,0,99,2
100,0,100,2
101,0,101,2
102,0,102,2
103,0,103,2
104,0,104,2
105,0,105,2
106,0,106,2
107,0,107,2
108,0,108,2
109,0,109,2
110,0,110,2
111,0,111,2
112,0,112,2
113,0,113,2
114,0,114,2
115,0,115,2
116,0,116,2
117,0,117,2
118,0,118,2
119,0,119,2
120,0,120,2
121,0,121,2
122,0,122,2
123,0,123,2
124,0,124,2
125,0,125,2
126,0,126,2
127,0,127,2
128,1,0,2
129,1,1,2
130,1,2,2
131,1,3,2
132,1,4,2
133,1,5,2
134,1,6,2
135,1,7,2
136,1,8,2
137,1,9,2
138,1,10,2
139,1,11,2
140,1,12,2
141,1,13,2
142,1,14,2
143,1,15,2
144,1,16,2
145,1,17,2
146,1,18,2
147,1,19,2
148,1,20,2
149,1,21,2
150,1,22,2
151,1,23,2
152,1,24,2
153,1,25,2
154,1,26,2
155,1,27,2
156,1,28,2
157,1,29,2
158,1,30,2
159,1,31,2
160,1,32,2
161,1,33,2
162,1,34,2
163,1,35,2
164,1,36,2
165,1,37,2
166,1,38,2
167,1,39,2
168,1,40,2
169,1,41,2
170,1,42,2
171,1,43,2
172,1,44,2
173,1,45,2
174,1,46,2
175,1,47,2
176,1,48,2
177,1,49,2
178,1,50,2
179,1,51,2
180,1,52,2
181,1,53,2
182,1,54,2
183,1,55,2
184,1,56,2
185,1,57,2
186,1,58,2
187,1,59,2
188,1,60,2
189,1,61,2
190,1,62,2
191,1,63,2
192,1,64,2
193,1,65,2
194,1,66,2
195,1,67,2
196,1,68,2
197,1,69,2
198,1,70,2
199,1,71,2
200,1,72,2
201,1,73,2
202,1,74,2
203,1,75,2
204,1,76,2
205,1,77,2
206,1,78,2
207,1,79,2
208,1,80,2
209,1,81,2
210,1,82,2
211,1,83,2
212,1,84,2
213,1,85,2
214,1,86,2
215,1,87,2
216,1,88,2
217,1,89,2
218,1,90,2
219,1,91,2
220,1,92,2
221,1,93,2
222,1,94,2
223,1,95,2
224,1,96,2
225,1,97,2
226,1,98,2
227,1,99,2
228,1,100,2
229,1,101,2
230,1,102,2
231,1,103,2
232,1,104,2
233,1,105,2
234,1,106,2
235,1,107,2
236,1,108,2
237,1,109,2
238,1,110,2
239,1,111,2
240,1,112,2
241,1,113,2
242,1,114,2
243,1,115,2
244,1,116,2
245,1,117,2
246,1,118,2
247,1,119,2
248,1,120,2
249,1,121,2
250,1,122,2
251,1,123,2
252,1,124,2
253,1,125,2
254,1,126,2
255,1,127,2
256,2,0,2
257,2,1,2
258,2,2,2
259,2,3,2
260,2,4,2
261,2,5,2
262,2,6,2
263,2,7,2
264,2,8,2
265,2,9,2
266,2,10,2
267,2,11,2
268,2,12,2
269,2,13,2
270,2,14,2
271,2,15,2
272,2,16,2
273,2,17,2
274,2,18,2
275,2,19,2
276,2,20,2
277,2,21,2
278,2,22,2
279,2,23,2
280,2,24,2
281,2,25,2
282,2,26,2
283,2,27,2
284,2,28,2
285,2,29,2
286,2,30,2
287,2,31,2
288,2,32,2
289,2,33,2
290,2,34,2
291,2,35,2
292,2,36,2
293,2,37,2
294,2,38,2
295,2,39,2
296,2,40,2
297,2,41,2
298,2,42,2
299,2,43,2
300,2,44,2
301,2,45,2
302,2,46,2
303,2,47,2
304,2,48,2
305,2,49,2
306,2,50,2
307,2,51,2
308,2,52,2
309,2,53,2
310,2,54,2
311,2,55,2
312,2,56,2
313,2,57,2
314,2,58,2
315,2,59,2
316,2,60,2
317,2,61,2
318,2,62,2
319,2,63,2
320,2,64,2
321,2,65,2
322,2,66,2
323,2,67,2
324,2,68,2
325,2,69,2
326,2,70,2
327,2,71,2
328,2,72,2
329,2,73,2
330,2,74,2
331,2,75,2
332,2,76,2
333,2,77,2
334,2,78,2
335,2,79,2
336,2,80,2
337,2,81,2
338,2,82,2
339,2,83,2
340,2,84,2
341,2,85,2
342,2,86,2
343,2,87,2
344,2,88,2
345,2,89,2
346,2,90,2
347,2,91,2
348,2,92,2
349,2,93,2
350,2,94,2
351,2,95,2
352,2,96,2
353,2,97,2
354,2,98,2
355,2,99,2
356,2,100,2
357,2,101,2
358,2,102,2
359,2,103,2
360,2,104,2
361,2,105,2
362,2,106,2
363,2,107,2
