,i,j,clusters
0,0,0,2
1,0,1,2
2,0,2,2
3,0,3,2
4,0,4,2
5,0,5,2
6,0,6,2
7,0,7,2
8,0,8,2
9,0,9,2
10,0,10,2
11,0,11,2
12,0,12,2
13,0,13,2
14,0,14,2
15,0,15,2
16,0,16,2
17,0,17,2
18,0,18,2
19,0,19,2
20,0,20,1
21,0,21,3
22,0,22,3
23,0,23,3
24,0,24,3
25,0,25,3
26,0,26,3
27,0,27,3
28,0,28,3
29,0,29,3
30,0,30,3
31,0,31,3
32,0,32,3
33,0,33,3
34,0,34,3
35,0,35,3
36,0,36,3
37,0,37,3
38,0,38,3
39,0,39,3
40,0,40,3
41,0,41,3
42,0,42,3
43,0,43,3
44,0,44,3
45,0,45,3
46,0,46,3
47,0,47,3
48,0,48,1
49,0,49,1
50,0,50,2
51,0,51,2
52,0,52,2
53,0,53,2
54,0,54,2
55,0,55,2
56,0,56,2
57,0,57,2
58,0,58,2
59,0,59,2
60,0,60,2
61,0,61,2
62,0,62,2
63,0,63,2
64,0,64,2
65,0,65,2
66,0,66,2
67,0,67,2
68,0,68,2
69,0,69,2
70,1,0,2
71,1,1,2
72,1,2,2
73,1,3,2
74,1,4,2
75,1,5,2
76,1,6,2
77,1,7,2
78,1,8,2
79,1,9,2
80,1,10,2
81,1,11,2
82,1,12,2
83,1,13,2
84,1,14,2
85,1,15,2
86,1,16,2
87,1,17,2
88,1,18,2
89,1,19,2
90,1,20,1
91,1,21,3
92,1,22,3
93,1,23,3
94,1,24,3
95,1,25,3
96,1,26,3
97,1,27,3
98,1,28,3
99,1,29,3
100,1,30,1
101,1,31,1
102,1,32,3
103,1,33,3
104,1,34,1
105,1,35,1
106,1,36,1
107,1,37,1
108,1,38,1
109,1,39,1
110,1,40,3
111,1,41,1
112,1,42,1
113,1,43,1
114,1,44,3
115,1,45,3
116,1,46,3
117,1,47,3
118,1,48,3
119,1,49,3
120,1,50,1
121,1,51,2
122,1,52,2
123,1,53,2
124,1,54,2
125,1,55,2
126,1,56,2
127,1,57,2
128,1,58,2
129,1,59,2
130,1,60,2
131,1,61,2
132,1,62,2
133,1,63,2
134,1,64,2
135,1,65,2
136,1,66,2
137,1,67,2
138,1,68,2
139,1,69,2
140,2,0,2
141,2,1,2
142,2,2,2
143,2,3,2
144,2,4,2
145,2,5,2
146,2,6,2
147,2,7,2
148,2,8,2
149,2,9,2
150,2,10,2
151,2,11,2
152,2,12,2
153,2,13,2
154,2,14,2
155,2,15,2
156,2,16,2
157,2,17,1
158,2,18,1
159,2,19,3
160,2,20,3
161,2,21,3
162,2,22,3
163,2,23,3
164,2,24,3
165,2,25,3
166,2,26,3
167,2,27,1
168,2,28,1
169,2,29,1
170,2,30,1
171,2,31,4
172,2,32,1
173,2,33,1
174,2,34,1
175,2,35,1
176,2,36,1
177,2,37,1
178,2,38,1
179,2,39,1
180,2,40,1
181,2,41,1
182,2,42,4
183,2,43,4
184,2,44,1
185,2,45,1
186,2,46,1
187,2,47,3
188,2,48,3
189,2,49,3
190,2,50,3
191,2,51,3
192,2,52,1
193,2,53,1
194,2,54,2
195,2,55,2
196,2,56,2
197,2,57,2
198,2,58,2
199,2,59,2
200,2,60,2
201,2,61,2
202,2,62,2
203,2,63,2
204,2,64,2
205,2,65,2
206,2,66,2
207,2,67,2
208,2,68,2
209,2,69,2
210,3,0,2
211,3,1,2
212,3,2,2
213,3,3,2
214,3,4,2
215,3,5,2
216,3,6,2
217,3,7,2
218,3,8,2
219,3,9,2
220,3,10,2
221,3,11,2
222,3,12,2
223,3,13,2
224,3,14,2
225,3,15,1
226,3,16,1
227,3,17,3
228,3,18,3
229,3,19,3
230,3,20,3
231,3,21,3
232,3,22,3
233,3,23,3
234,3,24,3
235,3,25,1
236,3,26,3
237,3,27,1
238,3,28,4
239,3,29,1
240,3,30,1
241,3,31,1
242,3,32,1
243,3,33,1
244,3,34,1
245,3,35,4
246,3,36,4
247,3,37,4
248,3,38,4
249,3,39,5
250,3,40,1
251,3,41,1
252,3,42,1
253,3,43,1
254,3,44,1
255,3,45,1
256,3,46,4
257,3,47,1
258,3,48,1
259,3,49,3
260,3,50,3
261,3,51,3
262,3,52,3
263,3,53,3
264,3,54,3
265,3,55,1
266,3,56,1
267,3,57,2
268,3,58,2
269,3,59,2
270,3,60,2
271,3,61,2
272,3,62,2
273,3,63,2
274,3,64,2
275,3,65,2
276,3,66,2
277,3,67,2
278,3,68,2
279,3,69,2
280,4,0,2
281,4,1,2
282,4,2,2
283,4,3,2
284,4,4,2
285,4,5,2
286,4,6,2
287,4,7,2
288,4,8,2
289,4,9,2
290,4,10,2
291,4,11,2
292,4,12,2
293,4,13,1
294,4,14,3
295,4,15,3
296,4,16,3
297,4,17,3
298,4,18,3
299,4,19,3
300,4,20,3
301,4,21,3
302,4,22,3
303,4,23,1
304,4,24,3
305,4,25,4
306,4,26,1
307,4,27,1
308,4,28,1
309,4,29,4
310,4,30,4
311,4,31,1
312,4,32,1
313,4,33,1
314,4,34,1
315,4,35,1
316,4,36,4
317,4,37,4
318,4,38,1
319,4,39,1
320,4,40,1
321,4,41,1
322,4,42,1
323,4,43,7
324,4,44,4
325,4,45,1
326,4,46,1
327,4,47,1
328,4,48,4
329,4,49,1
330,4,50,1
331,4,51,3
332,4,52,3
333,4,53,3
334,4,54,3
335,4,55,3
336,4,56,3
337,4,57,1
338,4,58,1
339,4,59,2
340,4,60,2
341,4,61,2
342,4,62,2
343,4,63,2
344,4,64,2
345,4,65,2
346,4,66,2
347,4,67,2
348,4,68,2
349,4,69,2
350,5,0,2
351,5,1,2
352,5,2,2
353,5,3,2
354,5,4,2
355,5,5,2
356,5,6,2
357,5,7,2
358,5,8,2
359,5,9,2
360,5,10,2
361,5,11,1
362,5,12,1
363,5,13,3
