nombre, cluster_tumor
0.csv, 1
1.csv, 1
10.csv, 1
100.csv, 1
101.csv, 1
102.csv, 1
106.csv, 1
107.csv, 1
108.csv, 1
109.csv, 1
111.csv, 1
112.csv, 1
114.csv, 1
115.csv, 1
116.csv, 1
117.csv, 9
118.csv, 1
119.csv, 9
120.csv, 1
121.csv, 1
122.csv, 1
123.csv, 1
124.csv, 1
125.csv, 1
127.csv, 1
128.csv, 5
129.csv, 1
130.csv, 1
132.csv, 1
133.csv, 1
134.csv, 1
136.csv, 1
137.csv, 1
138.csv, 1
139.csv, 1
140.csv, 1
141.csv, 1
142.csv, 1
143.csv, 1
144.csv, 1
145.csv, 1
146.csv, 1
147.csv, 1
148.csv, 1
149.csv, 1
150.csv, 1
151.csv, 1
152.csv, 1
153.csv, 1
154.csv, 1
155.csv, 1
156.csv, 1
157.csv, 1
158.csv, 1
159.csv, 1
160.csv, 1
161.csv, 1
162.csv, 1
163.csv, 1
164.csv, 1
165.csv, 1
166.csv, 1
167.csv, 1
168.csv, 1
169.csv, 1
170.csv, 1
171.csv, 1
172.csv, 1
173.csv, 1
174.csv, 1
175.csv, 1
176.csv, 1
177.csv, 1
178.csv, 1
179.csv, 1
181.csv, 1
182.csv, 1
183.csv, 1
184.csv, 1
185.csv, 1
186.csv, 1
188.csv, 1
189.csv, 1
191.csv, 1
193.csv, 1
195.csv, 1
197.csv, 1
198.csv, 1
199.csv, 1
200.csv, 1
201.csv, 1
202.csv, 1
203.csv, 1
205.csv, 1
206.csv, 1
209.csv, 1
210.csv, 1
211.csv, 1
212.csv, 1
213.csv, 1
214.csv, 1
215.csv, 1
216.csv, 1
217.csv, 1
218.csv, 1
219.csv, 1
220.csv, 1
221.csv, 1
222.csv, 1
223.csv, 1
224.csv, 1
225.csv, 1
228.csv, 1
229.csv, 1
230.csv, 7
231.csv, 4
232.csv, 1
233.csv, 1
235.csv, 1
236.csv, 1
237.csv, 1
238.csv, 1
239.csv, 1
240.csv, 1
241.csv, 1
242.csv, 1
243.csv, 1
244.csv, 1
245.csv, 1
246.csv, 1
247.csv, 1
249.csv, 1
250.csv, 1
251.csv, 1
252.csv, 1
254.csv, 1
255.csv, 5
256.csv, 1
257.csv, 1
258.csv, 1
259.csv, 1
260.csv, 1
261.csv, 1
262.csv, 1
263.csv, 1
264.csv, 1
265.csv, 1
266.csv, 1
267.csv, 1
268.csv, 1
269.csv, 1
270.csv, 1
271.csv, 1
272.csv, 1
273.csv, 1
274.csv, 1
275.csv, 1
276.csv, 1
277.csv, 1
278.csv, 1
279.csv, 1
280.csv, 1
281.csv, 1
282.csv, 1
283.csv, 1
284.csv, 1
285.csv, 1
286.csv, 1
287.csv, 1
288.csv, 1
289.csv, 1
290.csv, 1
291.csv, 1
292.csv, 1
293.csv, 1
294.csv, 1
295.csv, 1
296.csv, 1
297.csv, 1
298.csv, 1
299.csv, 1
300.csv, 1
301.csv, 1
302.csv, 1
303.csv, 1
304.csv, 1
305.csv, 1
306.csv, 1
307.csv, 1
308.csv, 1
309.csv, 1
310.csv, 1
311.csv, 1
312.csv, 1
314.csv, 1
315.csv, 1
316.csv, 1
320.csv, 1
321.csv, 1
322.csv, 1
323.csv, 1
324.csv, 1
325.csv, 1
326.csv, 1
327.csv, 1
328.csv, 1
329.csv, 1
330.csv, 1
331.csv, 1
332.csv, 1
333.csv, 1
334.csv, 1
335.csv, 1
336.csv, 1
337.csv, 1
338.csv, 1
339.csv, 1
340.csv, 1
341.csv, 1
342.csv, 1
343.csv, 1
344.csv, 1
345.csv, 1
346.csv, 1
347.csv, 1
348.csv, 1
349.csv, 1
350.csv, 1
351.csv, 1
352.csv, 1
353.csv, 1
354.csv, 1
355.csv, 1
356.csv, 1
357.csv, 1
358.csv, 1
359.csv, 1
360.csv, 1
361.csv, 1
362.csv, 1
363.csv, 1
364.csv, 1
365.csv, 1
366.csv, 1
367.csv, 1
368.csv, 1
369.csv, 1
370.csv, 1
371.csv, 1
372.csv, 1
373.csv, 1
374.csv, 1
375.csv, 1
376.csv, 1
378.csv, 1
380.csv, 1
381.csv, 1
382.csv, 1
384.csv, 1
385.csv, 1
386.csv, 1
387.csv, 1
388.csv, 1
390.csv, 1
391.csv, 1
392.csv, 1
393.csv, 1
395.csv, 1
396.csv, 1
397.csv, 1
398.csv, 1
399.csv, 1
105.csv, 1
131.csv, 1
194.csv, 1
196.csv, 1
204.csv, 7
226.csv, 2
227.csv, 2
234.csv, 1
248.csv, 10
317.csv, 4
318.csv, 5
319.csv, 4
389.csv, 5
247.csv, 1
