nombre, cluster_tumor
0.csv, 3
1.csv, 1
10.csv, 1
100.csv, 3
102.csv, 1
103.csv, 3
105.csv, 3
106.csv, 1
107.csv, 1
108.csv, 1
109.csv, 2
112.csv, 3
114.csv, 3
115.csv, 1
116.csv, 2
117.csv, 3
119.csv, 1
120.csv, 1
121.csv, 2
122.csv, 2
123.csv, 1
125.csv, 1
127.csv, 1
128.csv, 1
129.csv, 1
132.csv, 1
133.csv, 1
134.csv, 1
136.csv, 1
137.csv, 1
138.csv, 1
139.csv, 1
140.csv, 1
141.csv, 1
144.csv, 3
145.csv, 3
146.csv, 3
147.csv, 3
148.csv, 1
149.csv, 1
150.csv, 3
151.csv, 1
152.csv, 1
153.csv, 1
156.csv, 1
158.csv, 1
159.csv, 1
162.csv, 1
163.csv, 1
164.csv, 1
165.csv, 1
166.csv, 1
168.csv, 3
169.csv, 1
170.csv, 1
171.csv, 1
172.csv, 1
174.csv, 1
175.csv, 3
176.csv, 3
177.csv, 3
179.csv, 3
181.csv, 3
182.csv, 3
183.csv, 3
184.csv, 3
185.csv, 3
186.csv, 1
188.csv, 1
191.csv, 1
193.csv, 1
194.csv, 1
195.csv, 1
196.csv, 3
197.csv, 1
198.csv, 1
199.csv, 1
200.csv, 1
202.csv, 1
203.csv, 1
205.csv, 1
206.csv, 1
209.csv, 1
210.csv, 3
211.csv, 3
213.csv, 3
214.csv, 3
215.csv, 3
217.csv, 1
218.csv, 1
219.csv, 3
220.csv, 1
221.csv, 3
222.csv, 1
225.csv, 1
226.csv, 3
227.csv, 3
228.csv, 1
229.csv, 1
230.csv, 1
231.csv, 1
232.csv, 2
233.csv, 3
234.csv, 1
237.csv, 1
238.csv, 1
239.csv, 1
240.csv, 1
242.csv, 1
243.csv, 3
242.csv, 1
243.csv, 3
247.csv, 1
248.csv, 1
249.csv, 3
250.csv, 1
251.csv, 1
252.csv, 1
254.csv, 2
255.csv, 3
256.csv, 3
261.csv, 3
262.csv, 3
263.csv, 1
264.csv, 3
266.csv, 1
267.csv, 1
269.csv, 1
270.csv, 3
271.csv, 1
272.csv, 1
275.csv, 1
276.csv, 1
278.csv, 3
280.csv, 0
281.csv, 3
282.csv, 1
283.csv, 1
285.csv, 1
286.csv, 3
287.csv, 3
288.csv, 3
291.csv, 3
297.csv, 3
298.csv, 3
299.csv, 2
300.csv, 1
302.csv, 1
304.csv, 1
305.csv, 2
306.csv, 1
307.csv, 1
308.csv, 1
309.csv, 1
310.csv, 1
311.csv, 1
313.csv, 1
316.csv, 3
317.csv, 3
318.csv, 3
319.csv, 3
320.csv, 3
321.csv, 3
322.csv, 1
324.csv, 3
325.csv, 3
326.csv, 3
328.csv, 3
329.csv, 3
330.csv, 0
331.csv, 3
332.csv, 3
333.csv, 3
336.csv, 3
337.csv, 1
339.csv, 3
341.csv, 0
342.csv, 3
343.csv, 3
344.csv, 1
345.csv, 3
346.csv, 3
348.csv, 3
349.csv, 3
350.csv, 3
351.csv, 3
353.csv, 1
354.csv, 1
355.csv, 1
356.csv, 1
357.csv, 3
358.csv, 1
359.csv, 1
360.csv, 1
361.csv, 1
363.csv, 1
365.csv, 1
366.csv, 1
367.csv, 1
368.csv, 0
369.csv, 3
370.csv, 3
371.csv, 3
372.csv, 3
373.csv, 3
374.csv, 2
375.csv, 3
377.csv, 1
380.csv, 1
382.csv, 1
383.csv, 1
384.csv, 1
386.csv, 3
387.csv, 3
389.csv, 3
390.csv, 2
391.csv, 3
392.csv, 3
393.csv, 3
394.csv, 3
395.csv, 3
396.csv, 3
397.csv, 3
398.csv, 3
400.csv, 3
